iter	RMSE
0	13.65697362
1	13.09584535
2	12.64558231
3	12.33987147
4	12.09953024
5	11.881379
6	11.62179317
7	11.37047007
8	11.13722264
9	10.95414439
10	10.71402983
11	10.5424298
12	10.33977068
13	10.09887289
14	9.875216627
15	9.653173006
16	9.478425315
17	9.280272291
18	9.103840834
19	8.980052092
20	8.792722971
21	8.701341181
22	8.531905349
23	8.396764387
24	8.271786891
25	8.183505878
26	8.081005933
27	7.983116564
28	7.87681563
29	7.804906092
30	7.675893228
31	7.585213665
32	7.485583421
33	7.446118222
34	7.370534756
35	7.261581763
36	7.175765209
37	7.101639958
38	7.036793355
39	6.976421484
40	6.908485739
41	6.852099292
42	6.779214911
43	6.751444985
44	6.688940516
45	6.650900831
46	6.600888495
47	6.535126136
48	6.486829245
49	6.466268308
50	6.380101945
51	6.323681305
52	6.267955178
53	6.216822865
54	6.166486088
55	6.129488504
56	6.088901029
57	6.070371205
58	6.002862518
59	5.965701857
60	5.90083353
61	5.854697376
62	5.814342632
63	5.778871154
64	5.744115138
65	5.719741576
66	5.694146339
67	5.672481083
68	5.656805395
69	5.591903796
70	5.552380432
71	5.542006016
72	5.511846652
73	5.479969723
74	5.451506933
75	5.435537191
76	5.392052949
77	5.358077664
78	5.293562434
79	5.248861329
80	5.209534199
81	5.174691103
82	5.161075529
83	5.151596066
84	5.133817911
85	5.09947963
86	5.079153745
87	5.065875134
88	5.022420056
89	4.981089139
90	4.943329906
91	4.914853953
92	4.883996471
93	4.874723351
94	4.854418152
95	4.83990707
96	4.79994631
97	4.792983352
98	4.771483161
99	4.733748779
100	4.707110495
101	4.698328148
102	4.688400579
103	4.661295884
104	4.653446178
105	4.633405177
106	4.607141334
107	4.5837925
108	4.546669913
109	4.536560509
110	4.529872857
111	4.519358351
112	4.498359807
113	4.484147341
114	4.452832423
115	4.432354777
116	4.417999595
117	4.410630758
118	4.387200886
119	4.363225372
120	4.352605713
121	4.337834805
122	4.332988437
123	4.314875653
124	4.307137022
125	4.288736679
126	4.282616596
127	4.263835641
128	4.249432767
129	4.234223018
130	4.229483314
131	4.210435703
132	4.177058382
133	4.158622536
134	4.142148721
135	4.132566052
136	4.108009588
137	4.079301682
138	4.071669224
139	4.067374128
140	4.060418191
141	4.055859477
142	4.034700672
143	4.026072282
144	4.012897758
145	4.005516497
146	3.992915036
147	3.989106414
148	3.964150111
149	3.948978181
150	3.929157703
151	3.914981747
152	3.901851843
153	3.889393803
154	3.886354367
155	3.870902935
156	3.866637272
157	3.862592986
158	3.838164801
159	3.827568634
160	3.818227534
161	3.815038208
162	3.797115589
163	3.780599857
164	3.756513323
165	3.730991603
166	3.717957832
167	3.707081879
168	3.691868786
169	3.679865664
170	3.668867792
171	3.666488735
172	3.661032083
173	3.657894332
174	3.642007728
175	3.626625411
176	3.623828921
177	3.615406664
178	3.585258871
179	3.577130313
180	3.574195204
181	3.57202739
182	3.563821634
183	3.553274479
184	3.545001749
185	3.534555529
186	3.520739979
187	3.519207846
188	3.517180996
189	3.504742448
190	3.493445438
191	3.476488622
192	3.465818165
193	3.452589738
194	3.437849089
195	3.428732079
196	3.423279782
197	3.415361897
198	3.406592752
199	3.398144273
