iter	Passed	Remaining
0	151	30191
1	155	15376
2	158	10416
3	162	7943
4	165	6450
5	168	5453
6	171	4729
7	174	4192
8	178	3780
9	181	3442
10	184	3166
11	187	2936
12	190	2739
13	193	2571
14	197	2430
15	200	2306
16	203	2192
17	206	2085
18	209	1992
19	211	1906
20	214	1825
21	216	1749
22	218	1679
23	220	1613
24	221	1553
25	223	1496
26	225	1443
27	226	1391
28	227	1344
29	229	1298
30	230	1256
31	231	1215
32	232	1176
33	233	1139
34	234	1105
35	235	1072
36	236	1041
37	237	1010
38	237	981
39	238	954
40	239	928
41	240	902
42	240	878
43	241	855
44	242	833
45	242	812
46	243	792
47	243	772
48	244	753
49	244	734
50	245	717
51	245	700
52	246	683
53	247	667
54	247	652
55	248	637
56	248	623
57	249	609
58	249	596
59	250	583
60	250	571
61	251	559
62	251	547
63	252	536
64	252	525
65	253	514
66	253	504
67	254	494
68	255	484
69	255	474
70	256	465
71	256	456
72	257	447
73	257	438
74	258	430
75	258	421
76	259	414
77	259	406
78	260	398
79	260	391
80	261	383
81	261	376
82	262	369
83	262	362
84	263	356
85	263	349
86	264	343
87	264	337
88	265	330
89	265	324
90	266	319
91	266	313
92	267	307
93	268	302
94	268	296
95	269	291
96	269	286
97	270	281
98	270	276
99	271	271
100	271	266
101	272	261
102	272	256
103	273	252
104	274	247
105	274	243
106	275	239
107	275	234
108	276	230
109	276	226
110	277	222
111	277	218
112	278	214
113	278	210
114	279	206
115	279	202
116	280	198
117	281	195
118	281	191
119	282	188
120	282	184
121	283	181
122	283	177
123	284	174
124	284	170
125	285	167
126	285	164
127	286	161
128	286	157
129	287	154
130	287	151
131	288	148
132	289	145
133	289	142
134	290	139
135	290	136
136	291	133
137	291	131
138	292	128
139	292	125
140	293	122
141	293	119
142	294	117
143	294	114
144	295	111
145	295	109
146	296	106
147	296	104
148	297	101
149	297	99
150	298	96
151	298	94
152	299	91
153	299	89
154	300	87
155	300	84
156	301	82
157	301	80
158	302	77
159	302	75
160	303	73
161	303	71
162	304	69
163	304	66
164	305	64
165	305	62
166	306	60
167	306	58
168	307	56
169	307	54
170	308	52
171	308	50
172	309	48
173	309	46
174	310	44
175	310	42
176	311	40
177	311	38
178	312	36
179	312	34
180	313	32
181	313	31
182	314	29
183	314	27
184	315	25
185	315	23
186	316	21
187	316	20
188	316	18
189	317	16
190	317	14
191	318	13
192	318	11
193	319	9
194	319	8
195	320	6
196	320	4
197	321	3
198	321	1
199	322	0
