iter	Passed	Remaining
0	0	705
1	1	627
2	1	588
3	2	629
4	3	662
5	3	643
6	4	627
7	4	611
8	5	605
9	6	596
10	6	587
11	7	584
12	7	580
13	8	575
14	8	570
15	9	564
16	9	560
17	10	555
18	10	549
19	11	546
20	11	542
21	12	539
22	12	538
23	13	537
24	13	537
25	14	535
26	14	532
27	15	530
28	15	527
29	16	526
30	16	524
31	17	525
32	17	526
33	18	527
34	19	526
35	19	528
36	20	527
37	20	528
38	21	528
39	21	527
40	22	526
41	23	525
42	23	523
43	24	522
44	24	521
45	25	519
46	25	517
47	26	516
48	26	515
49	27	515
50	27	515
51	28	515
52	28	513
53	29	512
54	29	511
55	30	510
56	30	509
57	31	507
58	31	506
59	32	507
60	32	507
61	33	507
62	34	506
63	34	506
64	35	505
65	35	505
66	36	504
67	36	505
68	37	505
69	37	504
70	38	503
71	39	503
72	39	502
73	40	500
74	40	499
75	40	498
76	41	497
77	42	496
78	42	496
79	43	495
80	43	494
81	44	493
82	44	490
83	44	489
84	45	488
85	45	488
86	46	487
87	47	487
88	47	488
89	48	488
90	48	489
91	49	488
92	50	489
93	50	489
94	51	489
95	51	489
96	52	490
97	53	490
98	53	489
99	54	488
100	54	488
101	55	487
102	55	487
103	56	486
104	57	486
105	57	485
106	58	485
107	58	485
108	59	484
109	59	484
110	60	484
111	60	483
112	61	482
113	62	483
114	62	484
115	63	484
116	63	482
117	64	481
118	64	481
119	65	480
120	66	479
121	66	478
122	66	477
123	67	476
124	67	475
125	68	474
126	68	472
127	69	471
128	69	470
129	70	469
130	70	468
131	71	468
132	71	467
133	72	466
134	72	465
135	73	464
136	73	463
137	74	462
138	74	461
139	74	460
140	75	459
141	75	457
142	76	456
143	76	455
144	77	457
145	78	456
146	78	455
147	78	454
148	79	453
149	79	452
150	80	451
151	80	450
152	81	449
153	81	448
154	82	447
155	82	446
156	83	445
157	83	444
158	83	443
159	84	443
160	84	441
161	85	440
162	85	439
163	86	439
164	86	438
165	87	437
166	87	436
167	88	435
168	88	435
169	88	434
170	89	433
171	89	432
172	90	431
173	90	430
174	91	429
175	91	429
176	92	428
177	92	428
178	93	427
179	93	426
180	94	426
181	94	425
182	95	424
183	95	423
184	95	422
185	96	421
186	96	420
187	97	420
188	97	419
189	98	418
190	98	417
191	99	416
192	99	416
193	100	415
194	100	414
195	100	414
196	101	413
197	101	413
198	102	412
199	102	411
200	103	410
201	103	410
202	104	409
203	104	408
204	105	407
205	105	406
206	106	406
207	106	405
208	106	404
209	107	404
210	107	403
211	108	403
212	108	402
213	109	401
214	109	400
215	110	400
216	110	399
217	111	398
218	111	397
219	111	397
220	112	396
221	112	395
222	113	394
223	113	394
224	114	393
225	114	392
226	115	392
227	115	391
228	116	390
229	116	389
230	116	389
231	117	388
232	117	387
233	118	387
234	118	386
235	119	385
236	119	384
237	120	384
238	120	383
239	120	382
240	121	382
241	121	381
242	122	380
243	122	380
244	123	379
245	123	379
246	124	378
247	124	377
248	125	377
249	125	376
250	125	375
251	126	375
252	126	374
253	127	373
254	127	373
255	128	372
256	128	371
257	129	371
258	129	370
259	130	370
260	130	369
261	130	368
262	131	368
263	131	367
264	132	366
265	132	366
266	133	365
267	133	364
268	134	364
269	134	363
270	134	363
271	135	362
272	135	361
273	136	361
274	136	361
275	137	360
276	137	360
277	138	359
278	138	358
279	139	358
280	139	358
281	140	357
